x,y,Leng_series,P_val_WT,Effect_Size,Coef_b11,Coef_b21,Coef_a1
SST,Merluccius_merluccius_juv,27,0.187,0.08,-0.21,0.11,0.23
WeMOI,Merluccius_merluccius_juv,26,0.161,0.09,0.22,0.12,0.19
MLD,Merluccius_merluccius_juv,27,0.497,0.02,0.1,0.21,0.23
Nitrate con.,Merluccius_merluccius_juv,27,0.689,0.01,0.06,0.21,0.23
Phosphate con.,Merluccius_merluccius_juv,27,0.029,0.21,0.32,0.16,0.23
R.flow,Merluccius_merluccius_juv,26,0.288,0.05,0.17,0.14,0.19
Dem.trawlers,Merluccius_merluccius_juv,21,0.142,0.12,0.31,0.09,0.33
SST,Trisopterus_capelanus_juv,27,0.015,0.26,-0.33,-0.18,-0.14
WeMOI,Trisopterus_capelanus_juv,26,0.222,0.07,0.18,-0.17,-0.14
MLD,Trisopterus_capelanus_juv,27,0.035,0.2,0.29,-0.23,-0.14
Nitrate con.,Trisopterus_capelanus_juv,27,0.674,0.01,-0.07,-0.1,-0.14
Phosphate con.,Trisopterus_capelanus_juv,27,0.087,0.13,0.24,-0.15,-0.14
R.flow,Trisopterus_capelanus_juv,26,0.82,0,0.03,-0.14,-0.14
Dem.trawlers,Trisopterus_capelanus_juv,21,0.322,0.06,0.16,-0.16,-0.09
SST,Eutrigla_gurnardus_adu,27,0.244,0.06,-0.13,0.51,0.58
WeMOI,Eutrigla_gurnardus_adu,26,0.184,0.08,0.15,0.56,0.58
MLD,Eutrigla_gurnardus_adu,27,0.267,0.05,0.12,0.57,0.58
Nitrate con.,Eutrigla_gurnardus_adu,27,0.416,0.02,-0.09,0.61,0.58
Phosphate con.,Eutrigla_gurnardus_adu,27,0.011,0.28,0.3,0.34,0.58
R.flow,Eutrigla_gurnardus_adu,26,0.364,0.03,0.1,0.55,0.58
Dem.trawlers,Eutrigla_gurnardus_adu,21,0.296,0.07,0.15,0.53,0.65
SST,Lophius_budegassa_adu,27,0.401,0.02,-0.08,0.46,0.49
WeMOI,Lophius_budegassa_adu,26,0.093,0.12,0.18,0.35,0.49
MLD,Lophius_budegassa_adu,27,0.601,0,-0.05,0.47,0.49
