"X","Y","Leng_T.series","Effect_sens","lag","i","j","P_val_WT","Effect_Size","Coef_b11","Coef_b21","Coef_a1"
"Eutrigla_gurnardus_juv","Eledone_cirrhosa_juv",28,"x_cause_y",1,2,1,0.722,-0.01,-0.08,-0.1,-0.1
"Helicolenus_dactylopterus_juv","Eledone_cirrhosa_juv",28,"x_cause_y",1,3,1,0.144,0.08,-0.2,-0.09,-0.1
"Lophius_budegassa_juv","Eledone_cirrhosa_juv",28,"x_cause_y",1,4,1,0.984,-0.01,0,-0.1,-0.1
"Merluccius_merluccius_juv","Eledone_cirrhosa_juv",28,"x_cause_y",1,5,1,0.638,0,0.07,-0.1,-0.1
"Nephrops_norvegicus_juv","Eledone_cirrhosa_juv",28,"x_cause_y",1,6,1,0.502,0.01,0.12,-0.15,-0.1
"Phycis_blennoides_juv","Eledone_cirrhosa_juv",28,"x_cause_y",1,7,1,0.173,0.07,-0.21,-0.15,-0.1
"Trachurus_mediterraneus_juv","Eledone_cirrhosa_juv",28,"x_cause_y",1,8,1,0.765,-0.01,-0.02,-0.11,-0.1
"Trachurus_trachurus_juv","Eledone_cirrhosa_juv",28,"x_cause_y",1,9,1,0.804,-0.01,-0.03,-0.1,-0.1
"Trisopterus_capelanus_juv","Eledone_cirrhosa_juv",28,"x_cause_y",1,10,1,0.061,0.14,0.3,-0.12,-0.1
"Eledone_cirrhosa_adu","Eledone_cirrhosa_juv",28,"x_cause_y",1,11,1,0.746,-0.01,0.09,-0.13,-0.1
"Eutrigla_gurnardus_adu","Eledone_cirrhosa_juv",28,"x_cause_y",1,12,1,0.605,0,0.09,-0.11,-0.1
"Helicolenus_dactylopterus_adu","Eledone_cirrhosa_juv",28,"x_cause_y",1,13,1,0.573,0,0.15,-0.13,-0.1
"Lophius_budegassa_adu","Eledone_cirrhosa_juv",28,"x_cause_y",1,14,1,0.803,-0.01,-0.05,-0.11,-0.1
"Merluccius_merluccius_adu","Eledone_cirrhosa_juv",28,"x_cause_y",1,15,1,0.149,0.08,-0.35,-0.1,-0.1
"Mullus_barbatus_adu","Eledone_cirrhosa_juv",28,"x_cause_y",1,16,1,0.752,-0.01,-0.06,-0.1,-0.1
"Nephrops_norvegicus_adu","Eledone_cirrhosa_juv",28,"x_cause_y",1,17,1,0.993,-0.01,0.01,-0.1,-0.1
"Phycis_blennoides_adu","Eledone_cirrhosa_juv",28,"x_cause_y",1,18,1,0.749,-0.01,-0.08,-0.11,-0.1
"Trachurus_mediterraneus_adu","Eledone_cirrhosa_juv",28,"x_cause_y",1,19,1,0.785,-0.01,-0.03,-0.11,-0.1
"Trachurus_trachurus_adu","Eledone_cirrhosa_juv",28,"x_cause_y",1,20,1,0.895,-0.01,0.01,-0.1,-0.1
"Trisopterus_capelanus_adu","Eledone_cirrhosa_juv",28,"x_cause_y",1,21,1,0.893,-0.01,-0.03,-0.1,-0.1
"Sardina_pilchardus","Eledone_cirrhosa_juv",27,"x_cause_y",1,22,1,0.01,0.28,0.52,0.01,0.03
"Engraulis_encrasicolus","Eledone_cirrhosa_juv",27,"x_cause_y",1,23,1,0.845,0,-0.04,0.04,0.03
"Citharus_linguatula","Eledone_cirrhosa_juv",28,"x_cause_y",1,24,1,0.163,0.07,-0.19,-0.17,-0.1
"Illex_coindetii","Eledone_cirrhosa_juv",28,"x_cause_y",1,25,1,0.609,0,-0.05,-0.1,-0.1
"Lepidorhombus_boscii","Eledone_cirrhosa_juv",28,"x_cause_y",1,26,1,0.146,0.07,-0.45,-0.1,-0.1
"Loligo_vulgaris","Eledone_cirrhosa_juv",28,"x_cause_y",1,27,1,0.902,-0.01,0.01,-0.11,-0.1
"Lophius_piscatorius","Eledone_cirrhosa_juv",28,"x_cause_y",1,28,1,0.785,-0.01,0.04,-0.11,-0.1
"Micromesistius_poutassou","Eledone_cirrhosa_juv",28,"x_cause_y",1,29,1,0.704,0,0.04,-0.11,-0.1
"Mullus_surmuletus","Eledone_cirrhosa_juv",28,"x_cause_y",1,30,1,0.269,0.04,0.23,-0.08,-0.1
"Octopus_vulgaris","Eledone_cirrhosa_juv",28,"x_cause_y",1,31,1,0.048,0.15,0.49,-0.23,-0.1
