"X","Y","G_obs","p_value","Coef_b11"
"Zeus_faber","Engraulis_encrasicolus",0.11,0.115,-0.17
"Phycis_blennoides_juv","Merluccius_merluccius_adu",0.11,0.101,0.21
"Nephrops_norvegicus_juv","Merluccius_merluccius_adu",0.11,0.111,0.23
"Merluccius_merluccius_adu","Eledone_cirrhosa_adu",0.11,0.107,-0.35
"Engraulis_encrasicolus","Merluccius_merluccius_juv",0.11,0.11,0.51
"Loligo_vulgaris","Lophius_budegassa_adu",0.1,0.104,-0.08
"Illex_coindetii","Eledone_cirrhosa_adu",0.1,0.116,-0.12
"Solea_solea","Lophius_budegassa_adu",0.1,0.104,0.22
"Merluccius_merluccius_adu","Lophius_budegassa_adu",0.1,0.116,-0.35
"Eutrigla_gurnardus_adu","Merluccius_merluccius_juv",0.1,0.129,0.38
"Helicolenus_dactylopterus_adu","Eledone_cirrhosa_adu",0.1,0.117,-0.38
"Helicolenus_dactylopterus_adu","Merluccius_merluccius_juv",0.1,0.119,0.54
"Trachurus_trachurus_juv","Merluccius_merluccius_adu",0.09,0.147,-0.13
"Loligo_vulgaris","Lophius_budegassa_juv",0.09,0.121,0.14
"Mullus_barbatus_adu","Merluccius_merluccius_adu",0.09,0.142,-0.19
"Lophius_budegassa_juv","Merluccius_merluccius_juv",0.09,0.143,-0.24
"Helicolenus_dactylopterus_juv","Lophius_budegassa_juv",0.09,0.128,-0.3
"Helicolenus_dactylopterus_adu","Sardina_pilchardus",0.09,0.148,0.39
"Helicolenus_dactylopterus_juv","Eledone_cirrhosa_juv",0.08,0.144,-0.2
"Eutrigla_gurnardus_juv","Merluccius_merluccius_adu",0.08,0.158,0.27
"Mullus_surmuletus","Sardina_pilchardus",0.08,0.169,0.28
"Octopus_vulgaris","Engraulis_encrasicolus",0.08,0.166,0.28
"Merluccius_merluccius_adu","Eledone_cirrhosa_juv",0.08,0.149,-0.35
"Pagellus_bogaraveo","Sardina_pilchardus",0.07,0.212,0.1
"Illex_coindetii","Engraulis_encrasicolus",0.07,0.195,0.1
"Trachurus_mediterraneus_adu","Sardina_pilchardus",0.07,0.192,0.13
"Helicolenus_dactylopterus_juv","Sardina_pilchardus",0.07,0.2,-0.17
"Citharus_linguatula","Eledone_cirrhosa_juv",0.07,0.163,-0.19
"Phycis_blennoides_juv","Eledone_cirrhosa_juv",0.07,0.173,-0.21
"Trisopterus_capelanus_adu","Merluccius_merluccius_adu",0.07,0.214,0.25
"Eutrigla_gurnardus_juv","Sardina_pilchardus",0.07,0.214,-0.27
"Lepidorhombus_boscii","Engraulis_encrasicolus",0.07,0.214,-0.36
"Lepidorhombus_boscii","Eledone_cirrhosa_juv",0.07,0.146,-0.45
"Lepidorhombus_boscii","Merluccius_merluccius_juv",0.07,0.197,0.54
"Trachurus_mediterraneus_adu","Merluccius_merluccius_adu",0.06,0.233,-0.1
"Pagellus_erythrinus","Lophius_budegassa_adu",0.06,0.207,-0.11
"Pagellus_acarne","Lophius_budegassa_adu",0.06,0.213,0.13
"Lophius_budegassa_juv","Eledone_cirrhosa_adu",0.06,0.215,-0.14
"Zeus_faber","Merluccius_merluccius_adu",0.06,0.219,0.14
"Lophius_piscatorius","Eledone_cirrhosa_adu",0.06,0.237,-0.16
"Lophius_budegassa_juv","Mullus_barbatus_adu",0.06,0.132,0.17
"Phycis_blennoides_juv","Sardina_pilchardus",0.06,0.244,-0.19
"Engraulis_encrasicolus","Eledone_cirrhosa_adu",0.06,0.219,-0.24
"Nephrops_norvegicus_adu","Eledone_cirrhosa_adu",0.06,0.239,-0.25
"Merluccius_merluccius_adu","Sardina_pilchardus",0.06,0.238,0.27
"Nephrops_norvegicus_juv","Merluccius_merluccius_juv",0.06,0.213,0.31
"Pagellus_bogaraveo","Eledone_cirrhosa_adu",0.05,0.249,-0.08
"Micromesistius_poutassou","Merluccius_merluccius_juv",0.05,0.258,0.13
"Pagellus_acarne","Eledone_cirrhosa_juv",0.05,0.227,0.14
"Pagellus_erythrinus","Merluccius_merluccius_juv",0.05,0.256,-0.15
"Merluccius_merluccius_juv","Eledone_cirrhosa_adu",0.05,0.249,0.16
"Helicolenus_dactylopterus_adu","Lophius_budegassa_adu",0.05,0.236,-0.25
"Trisopterus_capelanus_juv","Lophius_budegassa_juv",0.05,0.252,-0.26
"Trisopterus_capelanus_adu","Sardina_pilchardus",0.05,0.266,-0.26
"Nephrops_norvegicus_juv","Lophius_budegassa_juv",0.05,0.223,-0.29
"Mullus_surmuletus","Merluccius_merluccius_juv",0.05,0.283,0.3
"Engraulis_encrasicolus","Lophius_budegassa_juv",0.05,0.296,0.35
"Nephrops_norvegicus_adu","Merluccius_merluccius_juv",0.05,0.251,0.38
"Trachurus_mediterraneus_juv","Merluccius_merluccius_adu",0.04,0.336,0.05
"Loligo_vulgaris","Sardina_pilchardus",0.04,0.31,-0.06
"Zeus_faber","Sardina_pilchardus",0.04,0.333,0.12
"Trisopterus_capelanus_juv","Engraulis_encrasicolus",0.04,0.368,0.12
"Citharus_linguatula","Engraulis_encrasicolus",0.04,0.34,-0.12
"Mullus_barbatus_adu","Engraulis_encrasicolus",0.04,0.336,0.13
"Trachurus_trachurus_juv","Merluccius_merluccius_juv",0.04,0.337,-0.14
"Trachurus_mediterraneus_adu","Lophius_budegassa_juv",0.04,0.262,0.16
"Merluccius_merluccius_juv","Mullus_barbatus_adu",0.04,0.189,-0.19
"Lophius_budegassa_adu","Eledone_cirrhosa_adu",0.04,0.295,0.21
"Mullus_surmuletus","Eledone_cirrhosa_juv",0.04,0.269,0.23
"Lepidorhombus_boscii","Merluccius_merluccius_adu",0.04,0.304,0.3
"Pagellus_bogaraveo","Merluccius_merluccius_adu",0.03,0.378,-0.06
"Pagellus_acarne","Sardina_pilchardus",0.03,0.433,-0.09
"Citharus_linguatula","Eledone_cirrhosa_adu",0.03,0.358,0.12
"Lophius_piscatorius","Engraulis_encrasicolus",0.03,0.395,-0.12
"Phycis_blennoides_juv","Lophius_budegassa_adu",0.03,0.355,0.13
"Nephrops_norvegicus_juv","Sardina_pilchardus",0.03,0.374,-0.14
"Trisopterus_capelanus_adu","Engraulis_encrasicolus",0.03,0.434,-0.15
"Merluccius_merluccius_adu","Engraulis_encrasicolus",0.03,0.432,-0.16
"Trisopterus_capelanus_juv","Merluccius_merluccius_juv",0.03,0.371,-0.2
"Nephrops_norvegicus_adu","Merluccius_merluccius_adu",0.03,0.367,0.2
"Eledone_cirrhosa_juv","Lophius_budegassa_juv",0.03,0.332,-0.25
"Eledone_cirrhosa_adu","Merluccius_merluccius_juv",0.03,0.37,0.27
"Micromesistius_poutassou","Merluccius_merluccius_adu",0.02,0.501,-0.05
"Trachurus_trachurus_adu","Merluccius_merluccius_adu",0.02,0.449,-0.06
"Pagellus_erythrinus","Merluccius_merluccius_adu",0.02,0.481,-0.06
"Trachurus_trachurus_juv","Engraulis_encrasicolus",0.02,0.481,0.07
"Pagellus_erythrinus","Eledone_cirrhosa_juv",0.02,0.349,0.09
"Phycis_blennoides_juv","Eledone_cirrhosa_adu",0.02,0.434,0.11
"Eutrigla_gurnardus_adu","Eledone_cirrhosa_adu",0.02,0.48,0.11
"Merluccius_merluccius_juv","Lophius_budegassa_adu",0.02,0.419,0.11
"Eutrigla_gurnardus_adu","Sardina_pilchardus",0.02,0.491,-0.11
"Sardina_pilchardus","Engraulis_encrasicolus",0.02,0.542,-0.11
"Helicolenus_dactylopterus_juv","Merluccius_merluccius_juv",0.02,0.499,0.13
"Eledone_cirrhosa_adu","Merluccius_merluccius_adu",0.02,0.495,0.13
"Lophius_budegassa_adu","Engraulis_encrasicolus",0.02,0.479,-0.13
"Citharus_linguatula","Merluccius_merluccius_juv",0.02,0.467,0.14
"Lophius_piscatorius","Mullus_barbatus_adu",0.02,0.235,0.14
"Mullus_surmuletus","Engraulis_encrasicolus",0.02,0.445,0.14
