coef,Est_without_newCov,Est_with_newCov,delta
b11,-0.10568554519399952,-0.2551958705254107,0.15
b21,-0.26717122785823916,-0.3833339034153214,0.116
b22,0.25313103960310346,0.4599568543119469,-0.207
b32,0.5227637323745219,0.4959632108720405,0.027
b33,-0.05634322249520135,-0.08467564613393953,0.028
b43,-0.42311294488622136,-0.42160032131917724,-0.002
b44,0.31481781051141455,0.3093471240284852,0.005
c21,-0.24222762114044583,-0.3059397252718843,0.064
c12,NA,-0.16224128816968506,NA
c22,NA,-0.10000123503605356,NA
